clip_id,card_id,transcript_bn,speaker,noise,dialect,notes
clip-45-a,45,মিলন স্টোরে পেপসোডেন্ট টুথপেস্ট কুড়ি পিস লাগবে,reader,,dhaka,
clip-45-b,45,মিলন স্টোরে পেপসোডেন্ট টুথপেস্ট কুড়ি পিস লাগবে,reader,,dhaka,
clip-46-a,46,তারা মার্টে মিস্টার নুডলসের বাই-ওয়ান-গেট-ওয়ান অফার চলতেছে,reader,,dhaka,
clip-46-b,46,তারা মার্টে মিস্টার নুডলসের বাই-ওয়ান-গেট-ওয়ান অফার চলতেছে,reader,,dhaka,
clip-47-a,47,হক এন্টারপ্রাইজে ক্লোজআপ আড়াই ডজন লাগবে,reader,,dhaka,
clip-47-b,47,হক এন্টারপ্রাইজে ক্লোজআপ আড়াই ডজন লাগবে,reader,,dhaka,
clip-48-a,48,জামান স্টোরে চাকা ওয়াশিং পাউডার একদম নাই,reader,,dhaka,
clip-48-b,48,জামান স্টোরে চাকা ওয়াশিং পাউডার একদম নাই,reader,,dhaka,
clip-49-a,49,জান্নাত জেনারেল স্টোরে মোজো সাড়ে চার কার্টন লাগবে,reader,,dhaka,
clip-49-b,49,জান্নাত জেনারেল স্টোরে মোজো সাড়ে চার কার্টন লাগবে,reader,,dhaka,
clip-50-a,50,কাজী ব্রাদার্সে তিব্বত পমেডের দাম পাঁচ টাকা কমেছে,reader,,dhaka,
clip-50-b,50,কাজী ব্রাদার্সে তিব্বত পমেডের দাম পাঁচ টাকা কমেছে,reader,,dhaka,
clip-51-a,51,"ভাই ভাই ট্রেডার্সে ইসপাহানি চা দেড় ডজন লাগবে, আর ফ্রেশ তেলের দাম কমছে",reader,,dhaka,
clip-51-b,51,"ভাই ভাই ট্রেডার্সে ইসপাহানি চা দেড় ডজন লাগবে, আর ফ্রেশ তেলের দাম কমছে",reader,,dhaka,
clip-52-a,52,"মায়ের দোয়া স্টোরে রাঁধুনি হালিম মিক্স শেষ, আর বম্বে সুইটস পাঁচ টাকা কমে বেচতেছে",reader,,dhaka,
clip-52-b,52,"মায়ের দোয়া স্টোরে রাঁধুনি হালিম মিক্স শেষ, আর বম্বে সুইটস পাঁচ টাকা কমে বেচতেছে",reader,,dhaka,
clip-53-a,53,"বিসমিল্লাহ এন্টারপ্রাইজে প্যারাসুট তেল আড়াই ডজন লাগবে, আর মেরিল শেষ",reader,,dhaka,
clip-53-b,53,"বিসমিল্লাহ এন্টারপ্রাইজে প্যারাসুট তেল আড়াই ডজন লাগবে, আর মেরিল শেষ",reader,,dhaka,
clip-54-a,54,"জননী জেনারেল স্টোরে অলিম্পিক বিস্কুটের দাম পাঁচ টাকা বাড়ছে, দোকানদার অভিযোগ করতেছে",reader,,dhaka,
clip-54-b,54,"জননী জেনারেল স্টোরে অলিম্পিক বিস্কুটের দাম পাঁচ টাকা বাড়ছে, দোকানদার অভিযোগ করতেছে",reader,,dhaka,
clip-55-a,55,"তাসমিয়া ট্রেডার্সে ম্যাগি নুডলস সোয়া তিন কার্টন আর বসুন্ধরা টিস্যু দুই ডজন লাগবে, আর ডেলিভারি দেরি করে আসতেছে",reader,,dhaka,
clip-55-b,55,"তাসমিয়া ট্রেডার্সে ম্যাগি নুডলস সোয়া তিন কার্টন আর বসুন্ধরা টিস্যু দুই ডজন লাগবে, আর ডেলিভারি দেরি করে আসতেছে",reader,,dhaka,
clip-56-a,56,"সিকদার মার্টে মিস্টার নুডলস অনেক বেশি মাল তুলছে, আর আমাদের কোকোলা নুডলস পনেরো পিস লাগবে",reader,,dhaka,
clip-57-a,57,"রনি স্টোরে পেপসোডেন্ট পৌনে দুই ডজন লাগবে, আর তিব্বত পমেডের অফার চলতেছে",reader,,dhaka,
clip-58-a,58,"মদিনা এন্টারপ্রাইজে ক্লোজআপের দাম তিন টাকা কমছে, সাড়ে চার কার্টন লাগবে",reader,,dhaka,
clip-59-a,59,"আল-আমিন ট্রেডার্সে মোজো শেষ, আর ক্লেমন দেড় ডজন লাগবে",reader,,dhaka,
clip-60-a,60,"মিলন স্টোরে চাকা ওয়াশিং পাউডার কুড়ি পিস লাগবে, আর হুইল নতুন অফার দিছে",reader,,dhaka,
clip-61-a,61,"তারা মার্টে ফ্রেশ সয়াবিন তেল দুই হালি লাগবে, আর দোকানদার লাভ নিয়ে রাগ করতেছে",reader,,dhaka,
clip-62-a,62,"হক এন্টারপ্রাইজে ইসপাহানি চা নাই, তাজা চা পৌনে চার ডজন লাগবে, আর পোস্টার ছিঁড়ে গেছে",reader,,dhaka,
clip-63-a,63,"জামান স্টোরে মেরিল পেট্রোলিয়াম জেলি আড়াই ডজন লাগবে, আর দোকানদার ফ্রি স্যাম্পল চাচ্ছে",reader,,dhaka,
clip-64-a,64,"জান্নাত জেনারেল স্টোরে রাঁধুনি মিক্সের দাম দশ টাকা বাড়ছে, আর এক ডজন লাগবে",reader,,dhaka,
clip-65-a,65,"কাজী ব্রাদার্সে কোকোলা নুডলস সোয়া পাঁচ কার্টন লাগবে, আর শেলফ পুরা খালি",reader,,dhaka,
